Oliver A. Iggesen. 2013. Asymmetrical Case-Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/50, Accessed on 2025-11-01.)

wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	No case-marking	-29.0	-61.0	Abipon	Guaicuruan	Nominal Categories
abk	Abkhaz	2	Symmetrical	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
aco	Acoma	1	No case-marking	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
ain	Ainu	2	Symmetrical	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	2	Symmetrical	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	6	Syncretism in relevant NP-types	41.0	20.0	Albanian	Indo-European	Nominal Categories
ale	Aleut	4	Subtractive-quantitatively asymmetrical	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
ame	Amele	1	No case-marking	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	2	Symmetrical	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
amu	Amuesha	2	Symmetrical	-10.5	-75.4166666667	Yanesha'	Arawakan	Nominal Categories
apu	Apurinã	2	Symmetrical	-9.0	-67.0	Purus	Arawakan	Nominal Categories
arb	Arabela	2	Symmetrical	-2.0	-75.1666666667	Zaparoan	Zaparoan	Nominal Categories
aeg	Arabic (Egyptian)	1	No case-marking	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	3	Additive-quantitatively asymmetrical	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Nominal Categories
arp	Arapesh (Mountain)	1	No case-marking	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arm	Armenian (Eastern)	3	Additive-quantitatively asymmetrical	40.0	45.0	Armenian	Indo-European	Nominal Categories
asm	Asmat	1	No case-marking	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
awp	Awa Pit	4	Subtractive-quantitatively asymmetrical	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
aym	Aymara (Central)	2	Symmetrical	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
bag	Bagirmi	1	No case-marking	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bam	Bambara	1	No case-marking	12.5	-7.5	Western Mande	Mande	Nominal Categories
brs	Barasano	2	Symmetrical	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bsq	Basque	6	Syncretism in relevant NP-types	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	1	No case-marking	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baw	Bawm	2	Symmetrical	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bej	Beja	6	Syncretism in relevant NP-types	18.0	36.0	Beja	Afro-Asiatic	Nominal Categories
bec	Bengali (Chittagong)	4	Subtractive-quantitatively asymmetrical	22.3333333333	91.8333333333	Indic	Indo-European	Nominal Categories
bma	Berber (Middle Atlas)	4	Subtractive-quantitatively asymmetrical	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
brh	Brahui	2	Symmetrical	28.5	67.0	Dravidian	Dravidian	Nominal Categories
bri	Bribri	3	Additive-quantitatively asymmetrical	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Nominal Categories
bul	Bulgarian	3	Additive-quantitatively asymmetrical	42.5	25.0	Slavic	Indo-European	Nominal Categories
brm	Burmese	2	Symmetrical	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	3	Additive-quantitatively asymmetrical	36.5	74.5	Burushaski	Burushaski	Nominal Categories
cah	Cahuilla	2	Symmetrical	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
cnl	Canela	1	No case-marking	-7.0	-45.0	Je Setentrional	Macro-Ge	Nominal Categories
car	Carib	1	No case-marking	5.5	-56.0	Cariban	Cariban	Nominal Categories
ctl	Catalan	3	Additive-quantitatively asymmetrical	41.75	2.0	Romance	Indo-European	Nominal Categories
cyv	Cayuvava	2	Symmetrical	-13.5	-65.5	Cayuvava	Cayuvava	Nominal Categories
cha	Chamorro	1	No case-marking	13.45	144.75	Chamorro	Austronesian	Nominal Categories
cle	Chinantec (Lealao)	1	No case-marking	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Nominal Categories
chk	Chukchi	4	Subtractive-quantitatively asymmetrical	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
cba	Chumash (Barbareño)	1	No case-marking	34.5	-120.25	Chumash	Chumash	Nominal Categories
chv	Chuvash	2	Symmetrical	55.5	47.5	Turkic	Altaic	Nominal Categories
cmn	Comanche	4	Subtractive-quantitatively asymmetrical	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
coo	Coos (Hanis)	2	Symmetrical	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cre	Cree (Plains)	2	Symmetrical	54.0	-110.0	Algonquian	Algic	Nominal Categories
dag	Daga	3	Additive-quantitatively asymmetrical	-10.0	149.333333333	Dagan	Trans-New Guinea	Nominal Categories
dni	Dani (Lower Grand Valley)	2	Symmetrical	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Nominal Categories
dio	Diola-Fogny	1	No case-marking	13.0	-16.25	Jola	Niger-Congo	Nominal Categories
don	Dong (Southern)	1	No case-marking	27.0	109.0	Kam-Tai	Tai-Kadai	Nominal Categories
dre	Drehu	1	No case-marking	-21.0	167.25	Oceanic	Austronesian	Nominal Categories
dut	Dutch	3	Additive-quantitatively asymmetrical	52.5	6.0	Germanic	Indo-European	Nominal Categories
dyi	Dyirbal	5	Qualitatively asymmetrical	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
eka	Ekari	3	Additive-quantitatively asymmetrical	-3.83333333333	135.5	Paniai Lakes	Trans-New Guinea	Nominal Categories
eng	English	3	Additive-quantitatively asymmetrical	52.0	0.0	Germanic	Indo-European	Nominal Categories
epe	Epena Pedee	2	Symmetrical	3.0	-77.0	Choco	Choco	Nominal Categories
est	Estonian	2	Symmetrical	59.0	26.0	Finnic	Uralic	Nominal Categories
eve	Evenki	2	Symmetrical	56.0	125.0	Tungusic	Altaic	Nominal Categories
ewe	Ewe	1	No case-marking	6.33333333333	0.416666666667	Gbe	Niger-Congo	Nominal Categories
fij	Fijian	1	No case-marking	-17.8333333333	178.0	Oceanic	Austronesian	Nominal Categories
fin	Finnish	3	Additive-quantitatively asymmetrical	62.0	25.0	Finnic	Uralic	Nominal Categories
fre	French	1	No case-marking	48.0	2.0	Romance	Indo-European	Nominal Categories
frw	Frisian (Western)	3	Additive-quantitatively asymmetrical	53.0	6.0	Germanic	Indo-European	Nominal Categories
fua	Fulfulde (Adamawa)	1	No case-marking	9.16666666667	13.5	Peul-Serer	Niger-Congo	Nominal Categories
fur	Fur	4	Subtractive-quantitatively asymmetrical	13.5	25.0	Fur	Fur	Nominal Categories
gar	Garo	2	Symmetrical	25.6666666667	90.5	Brahmaputran	Sino-Tibetan	Nominal Categories
geo	Georgian	4	Subtractive-quantitatively asymmetrical	42.0	44.0	Kartvelian	Kartvelian	Nominal Categories
ger	German	6	Syncretism in relevant NP-types	52.0	10.0	Germanic	Indo-European	Nominal Categories
gim	Gimira	3	Additive-quantitatively asymmetrical	7.0	35.75	Ta-Ne-Omotic	Afro-Asiatic	Nominal Categories
goo	Gooniyandi	3	Additive-quantitatively asymmetrical	-18.3333333333	126.333333333	Bunuban	Bunuban	Nominal Categories
grb	Grebo	1	No case-marking	5.0	-8.0	Kru	Niger-Congo	Nominal Categories
grk	Greek (Modern)	6	Syncretism in relevant NP-types	39.0	22.0	Greek	Indo-European	Nominal Categories
grw	Greenlandic (West)	6	Syncretism in relevant NP-types	64.0	-51.0	Eskimo	Eskimo-Aleut	Nominal Categories
gua	Guaraní	1	No case-marking	-26.0	-56.0	Maweti-Guarani	Tupian	Nominal Categories
hai	Haida	3	Additive-quantitatively asymmetrical	53.0	-132.0	Haida	Haida	Nominal Categories
ham	Hamtai	6	Syncretism in relevant NP-types	-7.5	146.25	Nuclear Angan	Trans-New Guinea	Nominal Categories
hau	Hausa	1	No case-marking	12.0	7.0	West Chadic	Afro-Asiatic	Nominal Categories
heb	Hebrew (Modern)	1	No case-marking	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Categories
hix	Hixkaryana	1	No case-marking	-1.0	-59.0	Cariban	Cariban	Nominal Categories
hmo	Hmong Njua	1	No case-marking	28.0	105.0	Hmongic	Hmong-Mien	Nominal Categories
hua	Hua	4	Subtractive-quantitatively asymmetrical	-6.33333333333	145.333333333	Siane-Yagaria	Trans-New Guinea	Nominal Categories
hve	Huave (San Mateo del Mar)	3	Additive-quantitatively asymmetrical	16.2166666667	-95.0	Huavean	Huavean	Nominal Categories
hmi	Huitoto (Minica)	2	Symmetrical	-0.333333333333	-74.0	Witoto	Witotoan	Nominal Categories
hun	Hungarian	2	Symmetrical	47.0	20.0	Ugric	Uralic	Nominal Categories
hzb	Hunzib	6	Syncretism in relevant NP-types	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
iaa	Iaai	1	No case-marking	-20.4166666667	166.583333333	Oceanic	Austronesian	Nominal Categories
ice	Icelandic	6	Syncretism in relevant NP-types	65.0	-17.0	Germanic	Indo-European	Nominal Categories
igb	Igbo	1	No case-marking	6.0	7.33333333333	Igboid	Niger-Congo	Nominal Categories
ika	Ika	2	Symmetrical	10.6666666667	-73.75	Arhuacic	Chibchan	Nominal Categories
ilo	Ilocano	3	Additive-quantitatively asymmetrical	16.0	121.0	Northern Luzon	Austronesian	Nominal Categories
imo	Imonda	2	Symmetrical	-3.33333333333	141.166666667	Border	Border	Nominal Categories
ind	Indonesian	1	No case-marking	0.0	106.0	Malayo-Sumbawan	Austronesian	Nominal Categories
ing	Ingush	6	Syncretism in relevant NP-types	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Nominal Categories
irq	Iraqw	2	Symmetrical	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Nominal Categories
iri	Irish	2	Symmetrical	53.0	-8.0	Celtic	Indo-European	Nominal Categories
ita	Italian	3	Additive-quantitatively asymmetrical	43.0	12.0	Romance	Indo-European	Nominal Categories
jak	Jakaltek	1	No case-marking	15.6666666667	-91.6666666667	Mayan	Mayan	Nominal Categories
jpn	Japanese	2	Symmetrical	37.0	140.0	Japanese	Japanese	Nominal Categories
juh	Ju|'hoan	1	No case-marking	-19.0	21.0	Ju-Kung	Kxa	Nominal Categories
kly	Kala Lagaw Ya	5	Qualitatively asymmetrical	-10.1166666667	142.116666667	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
kls	Kalispel	2	Symmetrical	48.0	-117.0	Interior Salish	Salishan	Nominal Categories
knd	Kannada	2	Symmetrical	14.0	76.0	Dravidian	Dravidian	Nominal Categories
knr	Kanuri	4	Subtractive-quantitatively asymmetrical	12.0	13.0	Western Saharan	Saharan	Nominal Categories
krk	Karok	4	Subtractive-quantitatively asymmetrical	41.6666666667	-123.0	Karok	Hokan	Nominal Categories
kas	Kashmiri	4	Subtractive-quantitatively asymmetrical	34.0	76.0	Indic	Indo-European	Nominal Categories
kyl	Kayah Li (Eastern)	1	No case-marking	19.0	97.5	Karen	Sino-Tibetan	Nominal Categories
kay	Kayardild	2	Symmetrical	-17.05	139.5	Tangkic	Tangkic	Nominal Categories
ker	Kera	2	Symmetrical	9.83333333333	15.0833333333	East Chadic	Afro-Asiatic	Nominal Categories
ket	Ket	2	Symmetrical	64.0	87.0	Yeniseian	Yeniseian	Nominal Categories
kew	Kewa	2	Symmetrical	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Nominal Categories
kha	Khalkha	2	Symmetrical	47.0	105.0	Mongolic	Altaic	Nominal Categories
kty	Khanty	3	Additive-quantitatively asymmetrical	65.0	65.0	Ugric	Uralic	Nominal Categories
khs	Khasi	1	No case-marking	25.5	92.0	Khasian	Austro-Asiatic	Nominal Categories
khm	Khmer	1	No case-marking	12.5	105.0	Khmer	Austro-Asiatic	Nominal Categories
kmu	Khmu'	1	No case-marking	21.0	102.0	Khmuic	Austro-Asiatic	Nominal Categories
klv	Kilivila	1	No case-marking	-8.5	151.083333333	Oceanic	Austronesian	Nominal Categories
kin	Kinyarwanda	1	No case-marking	-2.0	30.0	Bantu	Niger-Congo	Nominal Categories
kio	Kiowa	2	Symmetrical	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
krb	Kiribati	1	No case-marking	1.33333333333	173.0	Oceanic	Austronesian	Nominal Categories
koa	Koasati	2	Symmetrical	34.8333333333	-85.1666666667	Muskogean	Muskogean	Nominal Categories
kob	Kobon	3	Additive-quantitatively asymmetrical	-5.16666666667	144.333333333	Kalam-Kobon	Trans-New Guinea	Nominal Categories
kmb	Kombai	1	No case-marking	-5.58333333333	140.0	Ndeiram	Trans-New Guinea	Nominal Categories
kon	Kongo	1	No case-marking	-5.0	15.0	Bantu	Niger-Congo	Nominal Categories
kor	Korean	2	Symmetrical	37.5	128.0	Korean	Korean	Nominal Categories
kfe	Koromfe	1	No case-marking	14.25	-0.916666666667	Koromfe	Niger-Congo	Nominal Categories
kos	Kosraean	1	No case-marking	5.3	163.0	Oceanic	Austronesian	Nominal Categories
kse	Koyraboro Senni	3	Additive-quantitatively asymmetrical	16.0	0.0	Songhay	Songhay	Nominal Categories
kro	Krongo	6	Syncretism in relevant NP-types	10.5	30.0	Kadugli	Kadu	Nominal Categories
knm	Kunama	2	Symmetrical	14.5	37.0	Kunama	Kunama	Nominal Categories
kut	Kutenai	1	No case-marking	49.5	-116.0	Kutenai	Kutenai	Nominal Categories
lad	Ladakhi	2	Symmetrical	34.0	78.0	Bodic	Sino-Tibetan	Nominal Categories
lak	Lak	2	Symmetrical	42.1666666667	47.1666666667	Lak	Nakh-Daghestanian	Nominal Categories
lkt	Lakhota	1	No case-marking	43.8333333333	-101.833333333	Mississippi Valley Siouan	Siouan	Nominal Categories
lan	Lango	1	No case-marking	2.16666666667	33.0	Western Nilotic	Eastern Sudanic	Nominal Categories
lat	Latvian	6	Syncretism in relevant NP-types	57.0	24.0	Baltic	Indo-European	Nominal Categories
lav	Lavukaleve	1	No case-marking	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Nominal Categories
lep	Lepcha	3	Additive-quantitatively asymmetrical	27.1666666667	88.5	Himalayish	Sino-Tibetan	Nominal Categories
lez	Lezgian	6	Syncretism in relevant NP-types	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
lit	Lithuanian	3	Additive-quantitatively asymmetrical	55.0	24.0	Baltic	Indo-European	Nominal Categories
luv	Luvale	1	No case-marking	-12.0	22.0	Bantu	Niger-Congo	Nominal Categories
mab	Maba	2	Symmetrical	13.75	20.8333333333	Maban	Maban	Nominal Categories
mdr	Madurese	1	No case-marking	-7.0	113.5	Malayo-Sumbawan	Austronesian	Nominal Categories
mak	Makah	1	No case-marking	48.3333333333	-124.666666667	Southern Wakashan	Wakashan	Nominal Categories
mal	Malagasy	3	Additive-quantitatively asymmetrical	-20.0	47.0	Barito	Austronesian	Nominal Categories
mlk	Malakmalak	3	Additive-quantitatively asymmetrical	-13.4166666667	130.416666667	Northern Daly	Northern Daly	Nominal Categories
mym	Malayalam	2	Symmetrical	10.0	76.5	Dravidian	Dravidian	Nominal Categories
mnd	Mandarin	1	No case-marking	34.0	110.0	Chinese	Sino-Tibetan	Nominal Categories
myi	Mangarrayi	5	Qualitatively asymmetrical	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Nominal Categories
mao	Maori	1	No case-marking	-40.0	176.0	Oceanic	Austronesian	Nominal Categories
map	Mapudungun	2	Symmetrical	-38.0	-72.0	Araucanian	Araucanian	Nominal Categories
mku	Maranungku	3	Additive-quantitatively asymmetrical	-13.6666666667	130.0	Wagaydy	Western Daly	Nominal Categories
mhi	Marathi	2	Symmetrical	19.0	76.0	Indic	Indo-European	Nominal Categories
mar	Maricopa	2	Symmetrical	33.1666666667	-113.166666667	Yuman	Hokan	Nominal Categories
mrd	Marind	1	No case-marking	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	Nominal Categories
mrt	Martuthunira	6	Syncretism in relevant NP-types	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
mau	Maung	3	Additive-quantitatively asymmetrical	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Nominal Categories
may	Maybrat	2	Symmetrical	-1.33333333333	132.5	Maybrat	Maybrat	Nominal Categories
mei	Meithei	2	Symmetrical	24.75	94.0	Manipuri	Sino-Tibetan	Nominal Categories
mss	Miwok (Southern Sierra)	2	Symmetrical	37.5	-120.0	Miwok	Penutian	Nominal Categories
mxc	Mixtec (Chalcatongo)	1	No case-marking	17.05	-97.5833333333	Mixtec	Oto-Manguean	Nominal Categories
mok	Mokilese	1	No case-marking	6.66666666667	159.75	Oceanic	Austronesian	Nominal Categories
moe	Mordvin (Erzya)	2	Symmetrical	53.0	45.5	Mordvin	Uralic	Nominal Categories
mun	Mundari	2	Symmetrical	23.0	84.6666666667	Munda	Austro-Asiatic	Nominal Categories
mrl	Murle	4	Subtractive-quantitatively asymmetrical	6.5	33.5	South Surmic	Eastern Sudanic	Nominal Categories
nht	Nahuatl (Tetelcingo)	1	No case-marking	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Nominal Categories
kho	Nama	2	Symmetrical	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
nav	Navajo	1	No case-marking	36.1666666667	-108.0	Athapaskan	Na-Dene	Nominal Categories
ndy	Ndyuka	1	No case-marking	4.5	-54.5	Creoles and Pidgins	other	Nominal Categories
ntu	Nenets	4	Subtractive-quantitatively asymmetrical	70.0	76.0	Samoyedic	Uralic	Nominal Categories
nez	Nez Perce	2	Symmetrical	46.0	-116.0	Sahaptian	Penutian	Nominal Categories
nti	Ngiti	3	Additive-quantitatively asymmetrical	1.33333333333	30.25	Lendu	Central Sudanic	Nominal Categories
ngi	Ngiyambaa	5	Qualitatively asymmetrical	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
niv	Nivkh	2	Symmetrical	53.3333333333	142.0	Nivkh	Nivkh	Nominal Categories
nko	Nkore-Kiga	1	No case-marking	-0.916666666667	29.8333333333	Bantu	Niger-Congo	Nominal Categories
nbd	Nubian (Dongolese)	2	Symmetrical	18.25	30.75	Nubian	Eastern Sudanic	Nominal Categories
